,Input.type,Input.emotion,Input.emoji_1,Input.emoji_2,Answer.choice,answers
81,less,sad,disappointed,crying,optionA,disappointed
82,less,sad,disappointed,crying,optionB,crying
83,less,sad,disappointed,crying,optionB,crying
84,less,sad,disappointed,crying,optionA,disappointed
85,less,sad,disappointed,crying,optionB,crying
86,less,sad,disappointed,crying,optionA,disappointed
87,less,sad,disappointed,crying,optionB,crying
88,less,sad,disappointed,crying,optionA,disappointed
89,less,sad,disappointed,crying,optionA,disappointed
90,less,sad,disappointed,pensive,optionA,disappointed
91,less,sad,disappointed,pensive,optionA,disappointed
92,less,sad,disappointed,pensive,optionA,disappointed
93,less,sad,disappointed,pensive,optionB,pensive
94,less,sad,disappointed,pensive,optionB,pensive
95,less,sad,disappointed,pensive,optionA,disappointed
96,less,sad,disappointed,pensive,optionB,pensive
97,less,sad,disappointed,pensive,optionA,disappointed
98,less,sad,disappointed,pensive,optionA,disappointed
99,less,sad,disappointed,pensive,optionA,disappointed
100,less,sad,disappointed,pensive,optionB,pensive
101,less,sad,disappointed,pensive,optionA,disappointed
102,less,sad,disappointed,pensive,optionA,disappointed
103,less,sad,disappointed,pensive,optionA,disappointed
104,less,sad,disappointed,pensive,optionB,pensive
105,less,sad,disappointed,tear,optionB,tear
106,less,sad,disappointed,tear,optionA,disappointed
107,less,sad,disappointed,tear,optionA,disappointed
108,less,sad,disappointed,tear,optionA,disappointed
109,less,sad,disappointed,tear,optionA,disappointed
110,less,sad,disappointed,tear,optionA,disappointed
111,less,sad,disappointed,tear,optionA,disappointed
112,less,sad,disappointed,tear,optionB,tear
113,less,sad,disappointed,tear,optionA,disappointed
114,less,sad,disappointed,tear,optionB,tear
115,less,sad,disappointed,tear,optionA,disappointed
116,less,sad,disappointed,tear,optionA,disappointed
117,less,sad,disappointed,tear,optionA,disappointed
118,less,sad,disappointed,tear,optionA,disappointed
119,less,sad,disappointed,tear,optionA,disappointed
120,less,sad,disappointed,tired,optionB,tired
121,less,sad,disappointed,tired,optionA,disappointed
122,less,sad,disappointed,tired,optionB,tired
123,less,sad,disappointed,tired,optionA,disappointed
124,less,sad,disappointed,tired,optionB,tired
125,less,sad,disappointed,tired,optionA,disappointed
126,less,sad,disappointed,tired,optionA,disappointed
127,less,sad,disappointed,tired,optionA,disappointed
128,less,sad,disappointed,tired,optionA,disappointed
129,less,sad,disappointed,tired,optionA,disappointed
130,less,sad,disappointed,tired,optionA,disappointed
131,less,sad,disappointed,tired,optionA,disappointed
132,less,sad,disappointed,tired,optionA,disappointed
133,less,sad,disappointed,tired,optionA,disappointed
134,less,sad,disappointed,tired,optionA,disappointed
135,less,sad,disappointed,weary,optionB,weary
136,less,sad,disappointed,weary,optionA,disappointed
137,less,sad,disappointed,weary,optionA,disappointed
