,Input.type,Input.emotion,Input.emoji_1,Input.emoji_2,Answer.choice,answers
242,less,afraid,astonished,fearful,optionA,astonished
243,less,afraid,astonished,fearful,optionA,astonished
244,less,afraid,astonished,fearful,optionB,fearful
245,less,afraid,astonished,fearful,optionB,fearful
246,less,afraid,astonished,fearful,optionB,fearful
247,less,afraid,astonished,fearful,optionA,astonished
248,less,afraid,astonished,fearful,optionB,fearful
249,less,afraid,astonished,fearful,optionA,astonished
250,less,afraid,astonished,fearful,optionA,astonished
251,less,afraid,astonished,fearful,optionA,astonished
252,less,afraid,astonished,fearful,optionB,fearful
253,less,afraid,astonished,fearful,optionB,fearful
254,less,afraid,astonished,fearful,optionB,fearful
255,less,afraid,fearful,sweat,optionA,fearful
256,less,afraid,fearful,sweat,optionA,fearful
257,less,afraid,fearful,sweat,optionA,fearful
258,less,afraid,fearful,sweat,optionB,sweat
259,less,afraid,fearful,sweat,optionB,sweat
260,less,afraid,fearful,sweat,optionA,fearful
261,less,afraid,fearful,sweat,optionB,sweat
262,less,afraid,fearful,sweat,optionB,sweat
263,less,afraid,fearful,sweat,optionB,sweat
264,less,afraid,fearful,sweat,optionA,fearful
265,less,afraid,fearful,sweat,optionA,fearful
266,less,afraid,fearful,sweat,optionA,fearful
267,less,afraid,fearful,sweat,optionA,fearful
268,less,afraid,fearful,sweat,optionB,sweat
269,less,afraid,fearful,sweat,optionA,fearful
270,less,afraid,sweat,fearful,optionB,fearful
271,less,afraid,sweat,fearful,optionA,sweat
272,less,afraid,sweat,fearful,optionA,sweat
273,less,afraid,sweat,fearful,optionB,fearful
274,less,afraid,sweat,fearful,optionB,fearful
275,less,afraid,sweat,fearful,optionB,fearful
276,less,afraid,sweat,fearful,optionB,fearful
277,less,afraid,sweat,fearful,optionA,sweat
278,less,afraid,sweat,fearful,optionB,fearful
279,less,afraid,sweat,fearful,optionA,sweat
280,less,afraid,sweat,fearful,optionB,fearful
281,less,afraid,sweat,fearful,optionA,sweat
282,less,afraid,sweat,fearful,optionA,sweat
283,less,afraid,sweat,fearful,optionB,fearful
284,less,afraid,sweat,fearful,optionB,fearful
285,less,afraid,sweat,astonished,optionB,astonished
286,less,afraid,sweat,astonished,optionB,astonished
287,less,afraid,sweat,astonished,optionA,sweat
288,less,afraid,sweat,astonished,optionA,sweat
289,less,afraid,sweat,astonished,optionB,astonished
290,less,afraid,sweat,astonished,optionA,sweat
291,less,afraid,sweat,astonished,optionB,astonished
292,less,afraid,sweat,astonished,optionB,astonished
293,less,afraid,sweat,astonished,optionA,sweat
294,less,afraid,sweat,astonished,optionA,sweat
295,less,afraid,sweat,astonished,optionB,astonished
296,less,afraid,sweat,astonished,optionB,astonished
297,less,afraid,sweat,astonished,optionB,astonished
298,less,afraid,sweat,astonished,optionB,astonished
299,less,afraid,sweat,astonished,optionA,sweat
